,method,tol,n,time,iterations,converges,final_score,norm_gradient
0,Newton Initial Points,0.0001,2,0.011441946029663086,9,True,4.6891999636141534e-11,4.61229857200871e-05
1,Newton Initial Points,0.0001,1000,0.018603801727294922,11,True,2.3914030991643346e-10,9.276598652189165e-05
2,Newton Initial Points,0.0001,10000,0.0594782829284668,11,True,2.3914030991643346e-10,9.276598652189165e-05
3,Newton Initial Points,0.0001,100000,0.8549563884735107,11,True,2.3914030991643346e-10,9.276598652189165e-05
4,Newton Initial Points,1e-06,2,0.013201475143432617,12,True,5.892302726636391e-15,5.577018880458987e-07
5,Newton Initial Points,1e-06,1000,0.025594234466552734,16,True,1.4353770819274737e-14,7.338506970822153e-07
6,Newton Initial Points,1e-06,10000,0.07850050926208496,16,True,1.4353770819274733e-14,7.338506970822154e-07
7,Newton Initial Points,1e-06,100000,0.9618079662322998,16,True,1.4353770819274737e-14,7.338506970822153e-07
8,Newton Initial Points,1e-08,2,0.01660895347595215,15,True,1.0837620378970278e-18,4.834793577382448e-09
9,Newton Initial Points,1e-08,1000,0.03203701972961426,20,True,6.5760553182552044e-18,1.5635432175916583e-08
10,Newton Initial Points,1e-08,10000,0.09563016891479492,20,True,6.5760553182552044e-18,1.5635432175916583e-08
11,Newton Initial Points,1e-08,100000,1.1141419410705566,20,True,6.5760553182552044e-18,1.5635432175916583e-08
